sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
30772439936,2021-02-03T06:13:30Z,85,20,20,45,41,63,0.10028929604628736
30757335323,2021-02-02T07:09:00Z,64,16,10,38,55,61,0.124117053481332
30743902433,2021-02-01T07:22:30Z,85,18,21,46,27,61,0.08341810783316378
30728486376,2021-01-31T07:54:30Z,79,16,19,44,42,61,0.07992733878292461
30715296051,2021-01-30T07:24:00Z,83,17,22,44,68,63,0.06814310051107325
30702735932,2021-01-29T07:31:30Z,85,19,21,45,73,62,0.08369283865401209
30686722870,2021-01-28T06:23:00Z,67,14,18,35,20,62,0.1550925925925926
30673463258,2021-01-27T06:54:30Z,87,21,21,45,64,62,0.1048313582497721
30657865949,2021-01-26T06:10:30Z,79,17,21,41,46,63,0.0811111111111111
30642013613,2021-01-25T06:44:30Z,79,18,18,43,52,63,0.13708920187793427
30642013612,2021-01-24T08:14:30Z,74,17,18,39,38,62,0.09070034443168772
30614938364,2021-01-23T07:55:30Z,80,16,19,45,35,62,0.10953346855983773
30601931435,2021-01-22T07:20:30Z,87,21,21,45,75,62,0.0885956644674835
30585084701,2021-01-21T06:36:30Z,87,20,21,46,84,63,0.08490566037735849
30569647316,2021-01-20T06:57:30Z,81,17,21,43,41,64,0.08691834942932397
30554385181,2021-01-19T06:06:30Z,77,19,20,38,15,64,0.11160058737151249
30541893244,2021-01-18T07:04:30Z,86,21,19,46,79,63,0.11030082041932543
30527575207,2021-01-17T07:42:30Z,89,21,22,46,80,63,0.076076993583868
